# Chunk-averaged data for fix fmobileTastc1 and group mobileTa
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
0 12 263
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 0 0 0 0 0 0 0
  3 2.5 0 0 0 0 0 0 0
  4 7.5 0 0 0 0 0 0 0
  5 12.5 0 0 0 0 0 0 0
  6 17.5 0 0 0 0 0 0 0
  7 22.5 0 0 0 0 0 0 0
  8 27.5 3 0 0.288892 517.995 0 0 0
  9 32.5 71 0 6.83712 277.472 0 0 0
  10 37.5 66 0 6.35563 306.149 0 0 0
  11 42.5 61 0 5.87414 302.766 0 0 0
  12 47.5 62 0 5.97044 314.779 0 0 0
# Chunk-averaged data for fix fmobileTastc1 and group mobileTa
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
5000 12 263
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 0 0 0 0 0 0 0
  3 2.5 0 0 0 0 0 0 0
  4 7.5 0 0 0 0 0 0 0
  5 12.5 0 0 0 0 0 0 0
  6 17.5 0 0 0 0 0 0 0
  7 22.5 0 0 0 0 0 0 0
  8 27.5 3 8.96518 0.288892 1717.54 -0.699933 8.82489 -8.44353
  9 32.5 71 1.66056 6.83712 1098.98 -1.08652 0.963562 -0.384045
  10 37.5 66 3.25553 6.35563 1217.67 -1.54637 2.32483 -1.6006
  11 42.5 61 3.65531 5.87414 1399.1 -1.95711 2.35828 -0.978399
  12 47.5 62 2.41544 5.97044 1566.57 -2.14711 0.934182 0.0197095
# Chunk-averaged data for fix fmobileTastc1 and group mobileTa
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
10000 12 263
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 0 0 0 0 0 0 0
  3 2.5 0 0 0 0 0 0 0
  4 7.5 0 0 0 0 0 0 0
  5 12.5 0 0 0 0 0 0 0
  6 17.5 0 0 0 0 0 0 0
  7 22.5 0 0 0 0 0 0 0
  8 27.5 3 9.81048 0.288892 1188.01 -2.47727 8.84499 -8.06936
  9 32.5 71 2.55992 6.83712 999.482 -2.00429 1.20178 -0.296684
  10 37.5 66 4.033 6.35563 917.64 -2.41951 2.39981 -0.811528
  11 42.5 61 4.71937 5.87414 990.879 -2.99654 2.64253 0.379656
  12 47.5 62 3.64825 5.97044 1160.24 -3.3142 1.35025 -0.037093
# Chunk-averaged data for fix fmobileTastc1 and group mobileTa
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
15000 12 263
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 0 0 0 0 0 0 0
  3 2.5 0 0 0 0 0 0 0
  4 7.5 0 0 0 0 0 0 0
  5 12.5 0 0 0 0 0 0 0
  6 17.5 0 0 0 0 0 0 0
  7 22.5 0 0 0 0 0 0 0
  8 27.5 3 10.2135 0.288892 830.893 -3.2977 8.70778 -8.04435
  9 32.5 71 3.20671 6.83712 1227.54 -2.68822 1.25278 -0.347148
  10 37.5 66 4.68511 6.35563 1004.88 -3.05432 2.60931 -0.761151
  11 42.5 61 5.35023 5.87414 1114.01 -3.64058 2.79443 -0.273896
  12 47.5 62 4.31816 5.97044 838.575 -4.01073 1.43248 0.0696331
# Chunk-averaged data for fix fmobileTastc1 and group mobileTa
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
20000 12 263
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 0 0 0 0 0 0 0
  3 2.5 0 0 0 0 0 0 0
  4 7.5 0 0 0 0 0 0 0
  5 12.5 0 0 0 0 0 0 0
  6 17.5 0 0 0 0 0 0 0
  7 22.5 0 0 0 0 0 0 0
  8 27.5 3 10.6207 0.288892 1310.84 -3.61983 8.67717 -8.67717
  9 32.5 71 3.59768 6.83712 1043.2 -3.04478 1.36737 -0.238371
  10 37.5 66 5.04887 6.35563 1006.2 -3.46382 2.59153 -0.846836
  11 42.5 61 5.75478 5.87414 944.531 -4.0046 2.99315 0.366737
  12 47.5 62 4.71076 5.97044 951.823 -4.37229 1.55115 -0.155206
# Chunk-averaged data for fix fmobileTastc1 and group mobileTa
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
25000 12 263
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 0 0 0 0 0 0 0
  3 2.5 0 0 0 0 0 0 0
  4 7.5 0 0 0 0 0 0 0
  5 12.5 0 0 0 0 0 0 0
  6 17.5 0 0 0 0 0 0 0
  7 22.5 0 0 0 0 0 0 0
  8 27.5 3 10.9418 0.288892 833.225 -4.02583 8.75009 -8.17894
  9 32.5 71 3.93928 6.83712 968.198 -3.42608 1.38435 -0.344818
  10 37.5 66 5.27854 6.35563 845.043 -3.71697 2.66941 -0.857505
  11 42.5 61 6.03721 5.87414 813.051 -4.32522 3.00396 -0.395214
  12 47.5 62 4.86143 5.97044 896.003 -4.51532 1.60822 0.0505084
# Chunk-averaged data for fix fmobileTastc1 and group mobileTa
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
30000 12 263
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 0 0 0 0 0 0 0
  3 2.5 0 0 0 0 0 0 0
  4 7.5 0 0 0 0 0 0 0
  5 12.5 0 0 0 0 0 0 0
  6 17.5 0 0 0 0 0 0 0
  7 22.5 0 0 0 0 0 0 0
  8 27.5 3 11.1077 0.288892 720.848 -4.19313 8.84001 -8.27569
  9 32.5 71 4.13493 6.83712 761.485 -3.60564 1.46421 -0.474852
  10 37.5 66 5.48197 6.35563 871.006 -3.92755 2.7345 -0.81169
  11 42.5 61 6.20118 5.87414 1080.7 -4.47909 3.07231 -0.246451
  12 47.5 62 5.16867 5.97044 857.411 -4.76841 1.77442 0.345062
# Chunk-averaged data for fix fmobileTastc1 and group mobileTa
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
35000 12 263
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 0 0 0 0 0 0 0
  3 2.5 0 0 0 0 0 0 0
  4 7.5 0 0 0 0 0 0 0
  5 12.5 0 0 0 0 0 0 0
  6 17.5 0 0 0 0 0 0 0
  7 22.5 0 0 0 0 0 0 0
  8 27.5 3 11.2215 0.288892 1045.64 -4.26253 9.29038 -8.32695
  9 32.5 71 4.31769 6.83712 908.457 -3.77532 1.52409 -0.282095
  10 37.5 66 5.61049 6.35563 835.86 -4.05515 2.77498 -0.733869
  11 42.5 61 6.25069 5.87414 1085.32 -4.55168 3.04432 0.670454
  12 47.5 62 5.30213 5.97044 836.398 -4.90883 1.78354 0.224395
# Chunk-averaged data for fix fmobileTastc1 and group mobileTa
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
40000 12 263
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 0 0 0 0 0 0 0
  3 2.5 0 0 0 0 0 0 0
  4 7.5 0 0 0 0 0 0 0
  5 12.5 0 0 0 0 0 0 0
  6 17.5 0 0 0 0 0 0 0
  7 22.5 0 0 0 0 0 0 0
  8 27.5 3 11.211 0.288892 1858.74 -4.32647 9.25901 -8.35891
  9 32.5 71 4.43641 6.83712 913.588 -3.89453 1.53604 -0.271893
  10 37.5 66 5.737 6.35563 960.465 -4.23044 2.76952 -0.156962
  11 42.5 61 6.35892 5.87414 747.949 -4.64718 3.07563 -0.219662
  12 47.5 62 5.42105 5.97044 949.423 -5.00524 1.85344 0.197444
# Chunk-averaged data for fix fmobileTastc1 and group mobileTa
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
45000 12 263
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 0 0 0 0 0 0 0
  3 2.5 0 0 0 0 0 0 0
  4 7.5 0 0 0 0 0 0 0
  5 12.5 0 0 0 0 0 0 0
  6 17.5 0 0 0 0 0 0 0
  7 22.5 0 0 0 0 0 0 0
  8 27.5 3 11.1568 0.288892 530.596 -4.37427 9.01352 -8.2786
