# Chunk-averaged data for fix fmobileHfstc1 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
0 12 600
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 0 0 0 0 0 0 0
  3 2.5 72 0 6.83916 327.999 0 0 0
  4 7.5 106 0 10.0688 296.947 0 0 0
  5 12.5 103 0 9.78379 275.414 0 0 0
  6 17.5 102 0 9.6888 296.097 0 0 0
  7 22.5 109 0 10.3537 272.435 0 0 0
  8 27.5 97 0 9.21386 294.571 0 0 0
  9 32.5 11 0 1.04487 436.336 0 0 0
  10 37.5 0 0 0 0 0 0 0
  11 42.5 0 0 0 0 0 0 0
  12 47.5 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileHfstc1 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
5000 12 600
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 0 0 0 0 0 0 0
  3 2.5 72 1.94857 6.83916 1411.17 -1.01632 1.30733 -0.669585
  4 7.5 106 1.48281 10.0688 1313.19 -1.06348 0.780363 0.171853
  5 12.5 103 2.71798 9.78379 1652.13 -0.919308 2.12987 0.642754
  6 17.5 102 1.82192 9.6888 1580.53 -0.804591 1.36566 -0.22482
  7 22.5 109 1.79491 10.3537 1504.64 -0.85276 1.28075 -0.76055
  8 27.5 97 2.41342 9.21386 1711.02 -0.916124 1.85934 -0.294956
  9 32.5 11 3.38724 1.04487 1130.37 -0.847073 2.87868 -1.99511
  10 37.5 0 0 0 0 0 0 0
  11 42.5 0 0 0 0 0 0 0
  12 47.5 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileHfstc1 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
10000 12 600
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 0 0 0 0 0 0 0
  3 2.5 72 2.38471 6.83916 1259.07 -1.36452 1.57504 -0.588936
  4 7.5 106 2.18048 10.0688 1452.68 -1.80005 0.865044 0.228599
  5 12.5 103 3.56324 9.78379 1419.12 -1.87225 2.27014 0.5647
  6 17.5 102 2.78676 9.6888 1461.63 -1.83629 1.57638 -0.131972
  7 22.5 109 2.67128 10.3537 1386.45 -1.84293 1.39447 -0.754319
  8 27.5 97 3.33529 9.21386 1330.5 -1.96151 2.01383 0.130471
  9 32.5 11 4.11293 1.04487 859.824 -1.62009 3.07644 -2.09413
  10 37.5 0 0 0 0 0 0 0
  11 42.5 0 0 0 0 0 0 0
  12 47.5 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileHfstc1 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
15000 12 600
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 0 0 0 0 0 0 0
  3 2.5 72 2.72085 6.83916 1581.51 -1.68764 1.67843 -0.461444
  4 7.5 106 2.66972 10.0688 1284.16 -2.22512 1.07384 0.285862
  5 12.5 103 4.08522 9.78379 1392.2 -2.36999 2.48695 0.631855
  6 17.5 102 3.3566 9.6888 1295.47 -2.42644 1.6755 0.273173
  7 22.5 109 3.34861 10.3537 1427.88 -2.52546 1.54938 -0.385399
  8 27.5 97 3.98291 9.21386 1518.98 -2.67794 2.07484 0.0818179
  9 32.5 11 4.95519 1.04487 1440.27 -2.55979 3.32082 2.62626
  10 37.5 0 0 0 0 0 0 0
  11 42.5 0 0 0 0 0 0 0
  12 47.5 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileHfstc1 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
20000 12 600
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 0 0 0 0 0 0 0
  3 2.5 72 2.89011 6.83916 1454.24 -1.79923 1.78987 -0.426736
  4 7.5 106 2.92856 10.0688 1318.15 -2.44388 1.18847 0.203692
  5 12.5 103 4.45823 9.78379 1148.88 -2.7579 2.59358 0.552571
  6 17.5 102 3.69807 9.6888 1234.7 -2.78846 1.76358 0.255992
  7 22.5 109 3.78191 10.3537 1190.22 -3.00776 1.56497 -0.790723
  8 27.5 97 4.43692 9.21386 1260.8 -3.14845 2.14037 0.129549
  9 32.5 11 5.30313 1.04487 1112.14 -2.9402 3.35896 -1.92669
  10 37.5 0 0 0 0 0 0 0
  11 42.5 0 0 0 0 0 0 0
  12 47.5 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileHfstc1 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
25000 12 600
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 0 0 0 0 0 0 0
  3 2.5 72 2.99465 6.83916 1521.83 -1.88298 1.81692 -0.3982
  4 7.5 106 3.08826 10.0688 1218.4 -2.60014 1.26132 0.14896
  5 12.5 103 4.71959 9.78379 1381.76 -2.98525 2.71732 0.478943
  6 17.5 102 3.99241 9.6888 1483.69 -3.11558 1.78281 0.25764
  7 22.5 109 4.09793 10.3537 1463.36 -3.34463 1.56774 -0.733179
  8 27.5 97 4.68609 9.21386 1305.47 -3.41095 2.16776 0.113713
  9 32.5 11 5.398 1.04487 2321.29 -3.10933 3.33428 -1.75685
  10 37.5 0 0 0 0 0 0 0
  11 42.5 0 0 0 0 0 0 0
  12 47.5 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileHfstc1 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
30000 12 600
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 0 0 0 0 0 0 0
  3 2.5 72 3.02245 6.83916 1289.24 -1.88349 1.89688 -0.413686
  4 7.5 106 3.18639 10.0688 1196.95 -2.66107 1.32558 0.160783
  5 12.5 103 4.83948 9.78379 1367.42 -3.05836 2.82564 0.179411
  6 17.5 102 4.19273 9.6888 1359.81 -3.29164 1.86498 0.324607
  7 22.5 109 4.30129 10.3537 1348.03 -3.55542 1.5803 -0.757675
  8 27.5 97 4.84801 9.21386 1221.68 -3.60815 2.14764 0.0172503
  9 32.5 11 5.61595 1.04487 1164.21 -3.3447 3.42375 2.79649
  10 37.5 0 0 0 0 0 0 0
  11 42.5 0 0 0 0 0 0 0
  12 47.5 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileHfstc1 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
35000 12 600
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 0 0 0 0 0 0 0
  3 2.5 72 3.08038 6.83916 1326.04 -1.89783 1.92707 -0.436353
  4 7.5 106 3.2897 10.0688 1456.08 -2.741 1.40962 0.262972
  5 12.5 103 4.9769 9.78379 1205.17 -3.17086 2.92355 -0.00608682
  6 17.5 102 4.35702 9.6888 1165.93 -3.43556 1.95047 0.335964
  7 22.5 109 4.45428 10.3537 1409.71 -3.67692 1.68628 -0.810556
  8 27.5 97 5.00965 9.21386 1264.31 -3.76961 2.17634 -0.422459
  9 32.5 11 5.87522 1.04487 1509.7 -3.55651 3.51506 2.9413
  10 37.5 0 0 0 0 0 0 0
  11 42.5 0 0 0 0 0 0 0
  12 47.5 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileHfstc1 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
40000 12 600
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 0 0 0 0 0 0 0
  3 2.5 72 3.08032 6.83916 1156.47 -1.92034 1.92788 -0.385606
  4 7.5 106 3.38975 10.0688 1495.69 -2.80197 1.49853 0.195131
  5 12.5 103 5.07758 9.78379 1101.81 -3.28416 2.96963 -0.0298094
  6 17.5 102 4.4798 9.6888 1114.71 -3.53306 2.06435 0.205888
  7 22.5 109 4.55702 10.3537 1372.12 -3.76955 1.73859 -0.719382
  8 27.5 97 5.1017 9.21386 1452.07 -3.83626 2.26156 0.250915
  9 32.5 11 5.87569 1.04487 973.84 -3.51588 3.54086 2.74683
  10 37.5 0 0 0 0 0 0 0
  11 42.5 0 0 0 0 0 0 0
