# Chunk-averaged data for fix fmobileOstc1 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
0 12 1833
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 6 0 0.0510858 107.598 0 0 0
  3 2.5 187 0 1.59217 282.308 0 0 0
  4 7.5 178 0 1.51555 276.308 0 0 0
  5 12.5 172 0 1.46446 285.58 0 0 0
  6 17.5 167 0 1.42189 318.629 0 0 0
  7 22.5 173 0 1.47297 303.909 0 0 0
  8 27.5 178 0 1.51555 288.874 0 0 0
  9 32.5 188 0 1.60069 302.248 0 0 0
  10 37.5 199 0 1.69435 290.731 0 0 0
  11 42.5 194 0 1.65177 280.547 0 0 0
  12 47.5 191 0 1.62623 317.573 0 0 0
# Chunk-averaged data for fix fmobileOstc1 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
5000 12 1833
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 6 0.350772 0.0510858 357.358 0.317082 0.109568 -0.0361426
  3 2.5 187 2.20246 1.59217 1360.18 0.994354 1.67191 -0.0814435
  4 7.5 178 2.59288 1.51555 1494.19 1.78769 1.48394 -0.356629
  5 12.5 172 4.25476 1.46446 1461.99 2.24695 2.91544 0.096294
  6 17.5 167 3.45701 1.42189 1339.85 2.47962 1.95878 -0.348652
  7 22.5 173 3.84289 1.47297 1304.6 2.41235 2.31774 -1.05126
  8 27.5 178 3.85755 1.51555 1283.64 2.18415 2.48582 -0.818279
  9 32.5 188 3.15633 1.60069 1395.36 1.83432 2.1162 0.640303
  10 37.5 199 3.21508 1.69435 1237.74 1.49615 2.32299 0.150015
  11 42.5 194 2.97475 1.65177 1277.03 1.02395 2.41427 -0.135813
  12 47.5 191 1.14427 1.62623 1283.77 0.389672 0.906066 0.0528045
# Chunk-averaged data for fix fmobileOstc1 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
10000 12 1833
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 6 0.389503 0.0510858 438.73 0.336679 0.194387 -0.114252
  3 2.5 187 2.31097 1.59217 1318.3 0.877252 1.84968 0.0275903
  4 7.5 178 2.57257 1.51555 1300.88 1.50707 1.66792 -0.339908
  5 12.5 172 4.23666 1.46446 1200.11 1.921 3.10624 0.215472
  6 17.5 167 3.33719 1.42189 1377.73 2.10684 2.14105 -0.534294
  7 22.5 173 3.68016 1.47297 1177.18 1.98 2.47154 -0.495673
  8 27.5 178 3.72985 1.51555 1325.95 1.74589 2.7141 -0.154815
  9 32.5 188 3.0439 1.60069 1365.74 1.45459 2.22599 0.328379
  10 37.5 199 3.31441 1.69435 1241.76 1.14173 2.6001 0.143094
  11 42.5 194 3.0874 1.65177 1305.14 0.806339 2.56088 -0.322303
  12 47.5 191 1.23123 1.62623 1229.45 0.239159 1.00189 0.0598423
# Chunk-averaged data for fix fmobileOstc1 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
15000 12 1833
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 6 0.285307 0.0510858 255.69 0.232374 0.150073 -0.0185346
  3 2.5 187 2.44717 1.59217 1242.68 0.866444 1.96714 0.31259
  4 7.5 178 2.68967 1.51555 1337.67 1.45779 1.84007 -0.427004
  5 12.5 172 4.31096 1.46446 1203.91 1.77817 3.25116 -0.295629
  6 17.5 167 3.39979 1.42189 1336.93 1.9049 2.3554 -0.379181
  7 22.5 173 3.70838 1.47297 1298.23 1.77854 2.63153 -0.483798
  8 27.5 178 3.73829 1.51555 1386.38 1.50984 2.82079 -0.239942
  9 32.5 188 3.11462 1.60069 1314.01 1.17192 2.4136 0.328716
  10 37.5 199 3.33539 1.69435 1423.5 0.974368 2.69659 0.126332
  11 42.5 194 3.07232 1.65177 1259.61 0.644258 2.57249 -0.712734
  12 47.5 191 1.30814 1.62623 1357.11 0.153434 1.0747 -0.0466874
# Chunk-averaged data for fix fmobileOstc1 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
20000 12 1833
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 6 0.412234 0.0510858 1102.25 0.325371 0.245058 -0.168397
  3 2.5 187 2.47219 1.59217 1176.39 0.817007 2.03229 0.227385
  4 7.5 178 2.72165 1.51555 1298.1 1.36952 1.88303 -0.301548
  5 12.5 172 4.34459 1.46446 1292.8 1.68422 3.32788 -0.246854
  6 17.5 167 3.45767 1.42189 1343.29 1.81208 2.43652 -0.474562
  7 22.5 173 3.71934 1.47297 1273.88 1.62863 2.73636 -0.418298
  8 27.5 178 3.78931 1.51555 1335.44 1.33173 2.97056 -0.277752
  9 32.5 188 3.14624 1.60069 1225.57 0.957438 2.49145 0.177404
  10 37.5 199 3.36891 1.69435 1209.04 0.8699 2.81273 -0.15501
  11 42.5 194 3.13799 1.65177 1382.58 0.563552 2.66413 -0.655657
  12 47.5 191 1.44522 1.62623 1330.18 0.0859932 1.20252 0.0237712
# Chunk-averaged data for fix fmobileOstc1 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
25000 12 1833
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 6 0.40029 0.0510858 752.978 0.269851 0.257054 0.0169009
  3 2.5 187 2.47479 1.59217 1153.32 0.783755 2.05123 -0.0354466
  4 7.5 178 2.74029 1.51555 1381.86 1.33841 1.94069 -0.388701
  5 12.5 172 4.382 1.46446 1262.86 1.63272 3.42155 -0.537315
  6 17.5 167 3.42336 1.42189 1403.02 1.67391 2.49041 -0.50826
  7 22.5 173 3.6824 1.47297 1265.9 1.53917 2.7728 -0.253817
  8 27.5 178 3.77306 1.51555 1350.47 1.19567 2.9892 -0.3382
  9 32.5 188 3.17661 1.60069 1362.81 0.884543 2.54177 0.118912
  10 37.5 199 3.39935 1.69435 1388.47 0.780187 2.82159 -0.124721
  11 42.5 194 3.23587 1.65177 1180.48 0.495306 2.74321 -0.584162
  12 47.5 191 1.48011 1.62623 1450.49 0.0648272 1.22037 -0.0153289
# Chunk-averaged data for fix fmobileOstc1 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
30000 12 1833
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 6 0.399019 0.0510858 1045.4 0.341352 0.171901 0.000170632
  3 2.5 187 2.53946 1.59217 1196.99 0.814848 2.12017 -0.173211
  4 7.5 178 2.83223 1.51555 1297.54 1.37547 1.99418 -0.143662
  5 12.5 172 4.49792 1.46446 1335.39 1.65539 3.51413 -0.542221
  6 17.5 167 3.52087 1.42189 1343.92 1.6705 2.59366 -0.915972
  7 22.5 173 3.74025 1.47297 1358.56 1.51926 2.79564 -0.33773
  8 27.5 178 3.75077 1.51555 1316.19 1.07939 2.99668 -0.435069
  9 32.5 188 3.23389 1.60069 1358.27 0.813674 2.62092 -0.170284
  10 37.5 199 3.44705 1.69435 1356.3 0.654331 2.88162 0.0853075
  11 42.5 194 3.24871 1.65177 1211.76 0.45507 2.69666 -0.311163
  12 47.5 191 1.51389 1.62623 1413.25 0.00977749 1.25188 0.0650348
# Chunk-averaged data for fix fmobileOstc1 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
35000 12 1833
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 6 0.248209 0.0510858 479.681 0.230199 0.0777403 0.0123559
  3 2.5 187 2.58778 1.59217 1197.13 0.788586 2.18201 -0.0887449
  4 7.5 178 2.86621 1.51555 1512.6 1.37291 2.01655 -0.238369
  5 12.5 172 4.53384 1.46446 1155.4 1.61044 3.56329 -0.668976
  6 17.5 167 3.48836 1.42189 1247.33 1.5992 2.56974 -0.813269
  7 22.5 173 3.76432 1.47297 1142.38 1.47378 2.84162 -0.282293
  8 27.5 178 3.8861 1.51555 1280.37 1.10231 3.08151 -0.435487
  9 32.5 188 3.37909 1.60069 1249.46 0.826874 2.70737 0.410932
  10 37.5 199 3.50897 1.69435 1189.57 0.678958 2.9086 -0.118522
  11 42.5 194 3.3397 1.65177 1240.32 0.463923 2.76881 -0.790106
  12 47.5 191 1.54813 1.62623 1350.24 -0.012211 1.26527 0.0931981
# Chunk-averaged data for fix fmobileOstc1 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
40000 12 1833
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 6 0.226793 0.0510858 779.813 0.194941 0.100052 0.0234734
  3 2.5 187 2.62565 1.59217 1325.4 0.809964 2.21984 -0.104781
  4 7.5 178 2.88664 1.51555 1289.97 1.33801 2.02938 -0.349188
  5 12.5 172 4.50926 1.46446 1302.31 1.60378 3.52656 -0.428292
  6 17.5 167 3.54704 1.42189 1280.84 1.64046 2.62503 -0.759461
  7 22.5 173 3.84872 1.47297 1237.51 1.52659 2.88177 -0.481615
  8 27.5 178 3.90975 1.51555 1407.06 1.08162 3.10171 -0.828393
  9 32.5 188 3.37948 1.60069 1248.29 0.830135 2.69843 0.00319075
  10 37.5 199 3.57166 1.69435 1240.67 0.710087 2.92084 0.0278905
  11 42.5 194 3.37645 1.65177 1393.89 0.446787 2.83925 -0.523469
