# Chunk-averaged data for fix fmobilestc1 and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
0 12 2696
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 6 0 0.0510858 107.598 0 0 0
  3 2.5 259 0 8.43133 295.01 0 0 0
  4 7.5 284 0 11.5843 284.011 0 0 0
  5 12.5 275 0 11.2483 281.772 0 0 0
  6 17.5 269 0 11.1107 310.086 0 0 0
  7 22.5 282 0 11.8267 291.744 0 0 0
  8 27.5 277 0 10.922 289.389 0 0 0
  9 32.5 268 0 9.29008 307.307 0 0 0
  10 37.5 265 0 8.04998 282.41 0 0 0
  11 42.5 256 0 7.62221 284.439 0 0 0
  12 47.5 255 0 7.78927 313.399 0 0 0
# Chunk-averaged data for fix fmobilestc1 and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
0 12 2696
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 6 0 0.0510858 107.598 0 0 0
  3 2.5 259 0 8.43133 295.01 0 0 0
  4 7.5 284 0 11.5843 284.011 0 0 0
  5 12.5 275 0 11.2483 281.772 0 0 0
  6 17.5 269 0 11.1107 310.086 0 0 0
  7 22.5 282 0 11.8267 291.744 0 0 0
  8 27.5 277 0 10.922 289.389 0 0 0
  9 32.5 268 0 9.29008 307.307 0 0 0
  10 37.5 265 0 8.04998 282.41 0 0 0
  11 42.5 256 0 7.62221 284.439 0 0 0
  12 47.5 255 0 7.78927 313.399 0 0 0
# Chunk-averaged data for fix fmobilestc1 and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
5000 12 2696
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 6 0.408968 0.0510858 95.4863 0.353128 0.197901 0.0564987
  3 2.5 259 2.06528 8.43133 430.962 0.430864 1.50553 0.0136517
  4 7.5 284 2.05887 11.5843 421.488 0.684639 1.09748 0.0896662
  5 12.5 275 3.52068 11.2483 454.258 0.928863 2.51874 -0.54717
  6 17.5 269 2.69679 11.1107 508.058 1.16152 1.55976 -0.14604
  7 22.5 282 2.93165 11.8267 483.892 1.15202 1.83889 -0.503705
  8 27.5 277 3.17721 10.922 459.079 1.01287 2.15298 -0.733638
  9 32.5 268 2.72632 9.29008 400.617 0.869592 1.81856 -0.0281451
  10 37.5 265 2.93692 8.04998 428.257 0.680086 2.0242 -1.1945
  11 42.5 256 2.91819 7.62221 481.276 0.255388 2.19184 -0.710345
  12 47.5 255 1.45366 7.78927 485.704 -0.221887 0.915616 -0.0420461
# Chunk-averaged data for fix fmobilestc1 and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
10000 12 2696
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 6 0.345078 0.0510858 222.885 0.2824 0.189722 0.189722
  3 2.5 259 2.21726 8.43133 316.451 0.260572 1.65006 -0.064735
  4 7.5 284 2.32454 11.5843 343.893 0.349346 1.28065 0.269546
  5 12.5 275 3.75158 11.2483 316.524 0.431829 2.72683 -0.344452
  6 17.5 269 2.91965 11.1107 328.955 0.557917 1.74018 -0.321972
  7 22.5 282 3.15486 11.8267 378.955 0.485712 1.97324 -0.668505
  8 27.5 277 3.28473 10.922 322.133 0.351191 2.23147 -0.948033
  9 32.5 268 2.85018 9.29008 324.391 0.255467 1.9242 -0.0966022
  10 37.5 265 3.07205 8.04998 332.311 0.147846 2.12585 -1.18581
  11 42.5 256 3.13447 7.62221 335.642 -0.176042 2.28081 -0.7425
  12 47.5 255 1.7681 7.78927 332.042 -0.582171 1.05059 -0.0294075
# Chunk-averaged data for fix fmobilestc1 and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
15000 12 2696
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 6 0.25587 0.0510858 324.441 0.235495 0.0994222 0.0773506
  3 2.5 259 2.32635 8.43133 310.214 0.171445 1.78112 -0.257228
  4 7.5 284 2.46717 11.5843 318.406 0.119856 1.39633 0.407741
  5 12.5 275 3.92171 11.2483 342.612 0.17549 2.80417 -0.0672861
  6 17.5 269 3.09547 11.1107 321.077 0.236934 1.84398 -0.132068
  7 22.5 282 3.31354 11.8267 352.314 0.092922 2.05549 -0.47662
  8 27.5 277 3.43903 10.922 346.571 -0.0374899 2.29606 -0.716669
  9 32.5 268 3.00275 9.29008 328.339 -0.104188 1.98993 -0.143374
  10 37.5 265 3.22515 8.04998 342.796 -0.118972 2.20664 -1.11287
  11 42.5 256 3.30978 7.62221 337.491 -0.429148 2.38862 -1.04995
  12 47.5 255 1.94082 7.78927 355.552 -0.78586 1.11679 -0.0418013
# Chunk-averaged data for fix fmobilestc1 and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
20000 12 2696
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 6 0.310794 0.0510858 162.126 0.256909 0.170648 0.170648
  3 2.5 259 2.38065 8.43133 299.235 0.116316 1.81821 -0.229145
  4 7.5 284 2.57221 11.5843 308.426 0.0178014 1.46128 0.438176
  5 12.5 275 3.98999 11.2483 319.845 0.000775236 2.83144 0.224496
  6 17.5 269 3.25486 11.1107 334.081 0.0591543 1.91646 -0.109927
  7 22.5 282 3.46121 11.8267 317.453 -0.15302 2.12106 -0.538536
  8 27.5 277 3.56575 10.922 311.208 -0.278642 2.35401 -0.881317
  9 32.5 268 3.10394 9.29008 292.536 -0.32308 2.03863 -0.127437
  10 37.5 265 3.31693 8.04998 306.109 -0.314705 2.26314 -1.10703
  11 42.5 256 3.41041 7.62221 302.692 -0.613705 2.45569 -0.908559
  12 47.5 255 2.0373 7.78927 340.616 -0.901953 1.15506 0.0241401
# Chunk-averaged data for fix fmobilestc1 and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
25000 12 2696
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 6 0.265647 0.0510858 138.145 0.23623 0.0999603 0.0999603
  3 2.5 259 2.40719 8.43133 260.206 0.0753103 1.84855 0.141343
  4 7.5 284 2.63599 11.5843 310.107 -0.0391658 1.53131 0.417026
  5 12.5 275 4.08827 11.2483 326.504 -0.0837771 2.88417 -0.443161
  6 17.5 269 3.3622 11.1107 288.872 -0.0649796 1.95775 -0.226159
  7 22.5 282 3.62121 11.8267 319.349 -0.312574 2.19106 -0.456105
  8 27.5 277 3.70119 10.922 284.414 -0.438451 2.42511 -1.16704
  9 32.5 268 3.17206 9.29008 289.859 -0.451563 2.07252 0.068548
  10 37.5 265 3.39141 8.04998 282.898 -0.407665 2.30943 -1.03996
  11 42.5 256 3.44724 7.62221 273.822 -0.69936 2.47095 -0.924159
  12 47.5 255 2.08781 7.78927 306.542 -0.963173 1.15235 -0.0852397
# Chunk-averaged data for fix fmobilestc1 and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
30000 12 2696
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 6 0.252136 0.0510858 204.478 0.212593 0.123125 0.123125
  3 2.5 259 2.44139 8.43133 293.03 0.0649774 1.86522 0.224047
  4 7.5 284 2.71579 11.5843 311.382 -0.077179 1.59708 0.406308
  5 12.5 275 4.14764 11.2483 271.187 -0.116584 2.90263 0.273214
  6 17.5 269 3.42401 11.1107 300.245 -0.13738 1.97281 -0.138766
  7 22.5 282 3.66262 11.8267 310.602 -0.418051 2.18033 -0.453399
  8 27.5 277 3.74308 10.922 297.124 -0.513858 2.41971 -0.977919
  9 32.5 268 3.23668 9.29008 293.627 -0.537759 2.09475 0.0852348
  10 37.5 265 3.45689 8.04998 316.044 -0.478203 2.35474 -0.674049
  11 42.5 256 3.49259 7.62221 324.025 -0.754933 2.49358 -0.842649
  12 47.5 255 2.12401 7.78927 297.245 -0.992709 1.17425 -0.0559897
# Chunk-averaged data for fix fmobilestc1 and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
35000 12 2696
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 6 0.278687 0.0510858 114.894 0.239699 0.120027 0.120027
  3 2.5 259 2.45984 8.43133 294.607 0.0629522 1.87475 -0.0389559
  4 7.5 284 2.74545 11.5843 287.339 -0.115076 1.6298 0.364482
  5 12.5 275 4.17593 11.2483 309.636 -0.164964 2.91473 0.472308
  6 17.5 269 3.49687 11.1107 287.699 -0.196252 2.03011 -0.136927
  7 22.5 282 3.72648 11.8267 295.079 -0.51118 2.21077 -0.463136
  8 27.5 277 3.82276 10.922 304.479 -0.620922 2.45216 -1.09013
  9 32.5 268 3.3151 9.29008 351.143 -0.642508 2.14038 -0.0692516
  10 37.5 265 3.52878 8.04998 306.57 -0.542574 2.39466 -0.68687
  11 42.5 256 3.52915 7.62221 301.874 -0.794991 2.53031 -0.872231
  12 47.5 255 2.13126 7.78927 301.891 -1.02213 1.16456 -0.0435249
# Chunk-averaged data for fix fmobilestc1 and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
40000 12 2696
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 6 0.306154 0.0510858 92.1702 0.253006 0.126366 0.126366
