# Chunk-averaged data for fix fmobileHfstc2 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
0 9 594
  1 -5 6 2.36071 0.284965 132.379 1.92821 1.18095 -0.557696
  2 5 180 5.08815 8.54894 317.197 2.789 3.38208 1.24979
  3 15 209 5.13335 9.92627 278.884 3.91192 2.31442 0.805207
  4 25 178 5.55971 8.45396 301.039 4.14566 2.59019 -0.353305
  5 35 21 5.48972 0.997377 287.66 4.15924 2.57427 -1.54675
  6 45 0 0 0 0 0 0 0
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileHfstc2 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
5000 9 600
  1 -5 18 5.22795 0.854894 631.622 2.20158 4.17001 2.56808
  2 5 234 3.9113 11.1136 576.664 1.98987 2.71232 1.04092
  3 15 224 4.71143 10.6387 639.522 3.18273 2.49827 0.573321
  4 25 124 4.73209 5.88927 610.111 3.20541 2.5544 -0.6855
  5 35 0 0 0 0 0 0 0
  6 45 0 0 0 0 0 0 0
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileHfstc2 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
10000 9 600
  1 -5 18 4.74823 0.854894 397.414 1.74943 3.91007 2.45348
  2 5 234 3.40834 11.1136 371.58 1.37183 2.61493 0.744106
  3 15 224 3.8705 10.6387 387.134 2.21984 2.41818 0.421262
  4 25 124 3.94829 5.88927 388.889 2.29999 2.50718 -0.56618
  5 35 0 0 0 0 0 0 0
  6 45 0 0 0 0 0 0 0
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileHfstc2 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
15000 9 600
  1 -5 18 4.4327 0.854894 371.917 1.44006 3.65143 2.52602
  2 5 234 3.1521 11.1136 326.952 1.03221 2.54875 0.15208
  3 15 224 3.42303 10.6387 390.81 1.68658 2.39101 -0.0031468
  4 25 124 3.41792 5.88927 393.861 1.66614 2.44363 -1.08772
  5 35 0 0 0 0 0 0 0
  6 45 0 0 0 0 0 0 0
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileHfstc2 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
20000 9 600
  1 -5 18 4.15339 0.854894 270.247 1.14468 3.48978 -0.206579
  2 5 234 3.01754 11.1136 355.532 0.828089 2.53627 0.105845
  3 15 224 3.13281 10.6387 342.219 1.31538 2.36727 0.0330396
  4 25 124 3.11246 5.88927 334.131 1.2861 2.38006 -0.678076
  5 35 0 0 0 0 0 0 0
  6 45 0 0 0 0 0 0 0
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileHfstc2 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
25000 9 600
  1 -5 18 4.0221 0.854894 217.24 1.01208 3.45114 -0.147889
  2 5 234 2.93559 11.1136 311.617 0.708793 2.52273 0.10677
  3 15 224 2.91166 10.6387 319.712 1.0404 2.31627 -0.277835
  4 25 124 2.85273 5.88927 309.962 0.994672 2.31018 -0.672585
  5 35 0 0 0 0 0 0 0
  6 45 0 0 0 0 0 0 0
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileHfstc2 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
30000 9 600
  1 -5 18 3.8212 0.854894 300.28 0.828858 3.39873 -0.0654525
  2 5 234 2.85224 11.1136 289.398 0.619291 2.47838 0.3042
  3 15 224 2.78848 10.6387 291.971 0.874424 2.27621 -0.0390988
  4 25 124 2.79127 5.88927 341.049 0.876528 2.30154 -0.739429
  5 35 0 0 0 0 0 0 0
  6 45 0 0 0 0 0 0 0
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileHfstc2 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
35000 9 600
  1 -5 18 3.80221 0.854894 218.867 0.817505 3.39342 -0.0822641
  2 5 234 2.82026 11.1136 289.444 0.553782 2.47517 0.102829
  3 15 224 2.70155 10.6387 302.93 0.763322 2.26325 0.248091
  4 25 124 2.69506 5.88927 311.714 0.683138 2.30165 -0.583753
  5 35 0 0 0 0 0 0 0
  6 45 0 0 0 0 0 0 0
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileHfstc2 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
40000 9 600
  1 -5 18 3.77325 0.854894 293.009 0.795588 3.37282 -0.0767603
  2 5 234 2.77721 11.1136 301.648 0.491142 2.45453 0.0868536
  3 15 224 2.61329 10.6387 300.077 0.652412 2.22002 -0.039876
  4 25 124 2.57674 5.88927 319.458 0.593313 2.23317 -0.58368
  5 35 0 0 0 0 0 0 0
  6 45 0 0 0 0 0 0 0
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileHfstc2 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
45000 9 600
  1 -5 18 3.7406 0.854894 285.86 0.77075 3.34923 -0.0717093
  2 5 234 2.73558 11.1136 290.216 0.481913 2.43152 -0.351401
  3 15 224 2.58411 10.6387 285.948 0.59202 2.22914 -0.254938
  4 25 124 2.53563 5.88927 305.707 0.503835 2.22299 -0.967513
  5 35 0 0 0 0 0 0 0
  6 45 0 0 0 0 0 0 0
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileHfstc2 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
50000 9 600
  1 -5 18 3.64935 0.854894 321.074 0.69182 3.31634 -0.0751557
  2 5 234 2.67818 11.1136 328.623 0.453823 2.38837 0.0875892
  3 15 224 2.52323 10.6387 312.912 0.506385 2.20531 -0.247724
  4 25 124 2.4805 5.88927 291.333 0.445944 2.1876 -1.48633
  5 35 0 0 0 0 0 0 0
  6 45 0 0 0 0 0 0 0
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileHfstc2 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
55000 9 600
  1 -5 18 3.63704 0.854894 265.285 0.671519 3.28804 -0.0076811
  2 5 234 2.61005 11.1136 293.469 0.392427 2.35139 -0.175525
  3 15 224 2.4772 10.6387 300.554 0.459005 2.1916 -0.0231318
  4 25 124 2.42139 5.88927 314.326 0.413967 2.15939 -1.06945
  5 35 0 0 0 0 0 0 0
  6 45 0 0 0 0 0 0 0
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileHfstc2 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
60000 9 600
  1 -5 18 3.50402 0.854894 358.691 0.571155 3.22641 -0.011202
  2 5 234 2.59432 11.1136 318.366 0.354301 2.35233 -0.401321
  3 15 224 2.48593 10.6387 314.307 0.43959 2.21593 -0.226911
  4 25 124 2.38736 5.88927 289.42 0.395956 2.12546 -1.06024
  5 35 0 0 0 0 0 0 0
  6 45 0 0 0 0 0 0 0
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileHfstc2 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
65000 9 600
  1 -5 18 3.50504 0.854894 276.693 0.584851 3.22133 0.0116569
  2 5 234 2.57253 11.1136 291.825 0.3583 2.3406 -0.412523
  3 15 224 2.47478 10.6387 274.131 0.409191 2.22994 -0.267886
  4 25 124 2.37904 5.88927 282.41 0.345674 2.13553 -1.08685
  5 35 0 0 0 0 0 0 0
  6 45 0 0 0 0 0 0 0
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileHfstc2 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
70000 9 600
  1 -5 18 3.49127 0.854894 397.158 0.55525 3.20216 0.0175639
  2 5 234 2.54214 11.1136 295.103 0.315109 2.3272 -0.40272
