# Chunk-averaged data for fix fmobileOstc2 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
0 9 1751
  1 -5 9 4.06512 0.0383143 211.473 -0.865199 3.63982 -3.02809
  2 5 342 4.2135 1.45595 276.187 -1.18069 3.54271 1.7721
  3 15 349 5.43035 1.48575 317.993 -1.53513 4.61966 2.13109
  4 25 365 5.10553 1.55386 291.749 -1.02155 4.50479 0.90467
  5 35 386 4.3752 1.64326 282.747 -0.449594 3.91308 1.50516
  6 45 300 3.70151 1.27714 301.898 -0.106869 3.41277 1.09033
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileOstc2 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
5000 9 1828
  1 -5 3 0 0.0127714 0 0 0 0
  2 5 322 3.75969 1.3708 353.984 0.33588 3.35536 0.491554
  3 15 334 4.45584 1.42189 393.516 0.605297 3.92808 -0.480915
  4 25 368 5.0372 1.56663 379.334 1.07389 4.43632 0.381184
  5 35 402 4.54571 1.71137 358.11 1.09441 3.98144 0.0293136
  6 45 399 3.30242 1.6986 362.652 0.466734 3.00983 0.295447
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileOstc2 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
10000 9 1828
  1 -5 3 0 0.0127714 0 0 0 0
  2 5 322 3.61493 1.3708 306.605 0.192092 3.26407 0.352932
  3 15 334 4.22155 1.42189 304.645 0.278145 3.79976 -0.755187
  4 25 368 4.77205 1.56663 312.075 0.603103 4.36228 0.424391
  5 35 402 4.31182 1.71137 308.867 0.639591 3.94106 -0.486977
  6 45 399 3.16776 1.6986 289.223 0.286113 2.9247 -0.144863
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileOstc2 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
15000 9 1828
  1 -5 3 0 0.0127714 0 0 0 0
  2 5 322 3.5497 1.3708 315.979 0.0747476 3.2115 0.338618
  3 15 334 4.13538 1.42189 309.622 0.116955 3.74346 -0.8544
  4 25 368 4.6069 1.56663 324.291 0.346711 4.25651 0.5112
  5 35 402 4.15789 1.71137 313.223 0.423385 3.86118 -0.689767
  6 45 399 3.07216 1.6986 302.842 0.188549 2.87068 -0.0168565
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileOstc2 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
20000 9 1828
  1 -5 3 0 0.0127714 0 0 0 0
  2 5 322 3.47971 1.3708 289.696 0.0183065 3.1623 0.153249
  3 15 334 4.04418 1.42189 302.782 0.0312072 3.69727 -1.00833
  4 25 368 4.49163 1.56663 301.146 0.230336 4.18415 0.0799827
  5 35 402 4.09512 1.71137 301.133 0.264725 3.83409 -0.711074
  6 45 399 2.96121 1.6986 307.723 0.116246 2.78777 0.20646
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileOstc2 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
25000 9 1828
  1 -5 3 0 0.0127714 0 0 0 0
  2 5 322 3.43612 1.3708 281.763 -0.0282595 3.15176 0.0535642
  3 15 334 3.96939 1.42189 296.465 -0.000850749 3.644 -1.57666
  4 25 368 4.47124 1.56663 291.56 0.17359 4.17244 0.254783
  5 35 402 4.04053 1.71137 282.135 0.195138 3.81122 -0.852906
  6 45 399 2.87808 1.6986 275.781 0.0825213 2.71368 -0.30335
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileOstc2 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
30000 9 1828
  1 -5 3 0 0.0127714 0 0 0 0
  2 5 322 3.41161 1.3708 303.984 -0.0265681 3.13499 -0.0514974
  3 15 334 3.91532 1.42189 286.029 -0.0149799 3.60713 -0.962675
  4 25 368 4.44328 1.56663 301.332 0.144209 4.16723 -0.528756
  5 35 402 4.00588 1.71137 291.561 0.143656 3.78258 -0.490145
  6 45 399 2.83298 1.6986 306.029 0.0701739 2.67839 -0.25368
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileOstc2 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
35000 9 1828
  1 -5 3 0 0.0127714 0 0 0 0
  2 5 322 3.34492 1.3708 298.454 -0.0369476 3.08789 -0.292046
  3 15 334 3.88221 1.42189 298.055 -0.0332781 3.57663 -0.978705
  4 25 368 4.39532 1.56663 294.026 0.0722818 4.14224 -0.584669
  5 35 402 3.95109 1.71137 305.589 0.0996502 3.74346 -0.471614
  6 45 399 2.792 1.6986 302.78 0.0574025 2.64371 -0.436268
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileOstc2 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
40000 9 1828
  1 -5 3 0 0.0127714 0 0 0 0
  2 5 322 3.29742 1.3708 298.818 -0.0409179 3.04621 -0.435391
  3 15 334 3.81926 1.42189 303.31 -0.066559 3.52238 -1.22336
  4 25 368 4.34184 1.56663 312.772 0.0494492 4.08436 -0.713279
  5 35 402 3.95811 1.71137 297.513 0.0834498 3.73782 -0.900673
  6 45 399 2.76916 1.6986 290.618 0.0478055 2.62494 -0.5968
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileOstc2 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
45000 9 1828
  1 -5 3 0 0.0127714 0 0 0 0
  2 5 322 3.2674 1.3708 300.803 -0.0423357 3.0231 -0.4749
  3 15 334 3.78972 1.42189 274.165 -0.0945737 3.50444 -1.07562
  4 25 368 4.29736 1.56663 312.251 0.0115427 4.04812 -0.984325
  5 35 402 3.94864 1.71137 288.916 0.0565565 3.73668 -0.833238
  6 45 399 2.77351 1.6986 293.934 0.0587253 2.63601 -0.516799
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileOstc2 and group mobileO
# Timestep Number-of-chunks Total-count
