# Chunk-averaged data for fix fmobileTastc2 and group mobileTa
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
0 9 247
  1 -5 0 0 0 0 0 0 0
  2 5 0 0 0 0 0 0 0
  3 15 0 0 0 0 0 0 0
  4 25 17 6.65087 0.818528 220.496 5.24178 3.07642 1.86275
  5 35 132 6.57942 6.35563 279.834 4.86604 3.25047 0.776615
  6 45 98 8.11741 4.71857 297.915 5.36304 4.60893 3.21772
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileTastc2 and group mobileTa
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
5000 9 263
  1 -5 0 0 0 0 0 0 0
  2 5 0 0 0 0 0 0 0
  3 15 0 0 0 0 0 0 0
  4 25 68 5.90012 3.27411 501.766 3.88651 3.3917 2.16269
  5 35 137 5.15026 6.59637 717.281 3.34407 3.07078 -0.0161842
  6 45 58 6.9627 2.79263 888.9 3.09032 5.33025 2.91508
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileTastc2 and group mobileTa
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
10000 9 263
  1 -5 0 0 0 0 0 0 0
  2 5 0 0 0 0 0 0 0
  3 15 0 0 0 0 0 0 0
  4 25 68 5.054 3.27411 392.474 2.88551 3.35321 2.01814
  5 35 137 4.37152 6.59637 438.986 2.40128 2.97913 -0.189001
  6 45 58 6.28814 2.79263 442.468 2.13 5.24343 1.15979
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileTastc2 and group mobileTa
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
15000 9 263
  1 -5 0 0 0 0 0 0 0
  2 5 0 0 0 0 0 0 0
  3 15 0 0 0 0 0 0 0
  4 25 68 4.47479 3.27411 334.679 2.22866 3.2542 2.0894
  5 35 137 3.9223 6.59637 413.963 1.84319 2.92597 0.152359
  6 45 58 5.91797 2.79263 565.756 1.58298 5.22309 2.07209
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileTastc2 and group mobileTa
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
20000 9 263
  1 -5 0 0 0 0 0 0 0
  2 5 0 0 0 0 0 0 0
  3 15 0 0 0 0 0 0 0
  4 25 68 4.17245 3.27411 288.096 1.82748 3.23053 1.40938
  5 35 137 3.65108 6.59637 329.019 1.48149 2.88415 0.122318
  6 45 58 5.72916 2.79263 349.878 1.23873 5.2384 0.282918
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileTastc2 and group mobileTa
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
25000 9 263
  1 -5 0 0 0 0 0 0 0
  2 5 0 0 0 0 0 0 0
  3 15 0 0 0 0 0 0 0
  4 25 68 3.92641 3.27411 282.463 1.5213 3.14401 1.99861
  5 35 137 3.52494 6.59637 300.367 1.28957 2.87743 0.172726
  6 45 58 5.58492 2.79263 417.17 1.12574 5.16816 0.12711
  7 55 0 0 0 0 0 0 0
  8 65 0 0 0 0 0 0 0
  9 75 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileTastc2 and group mobileTa
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
30000 9 263
  1 -5 0 0 0 0 0 0 0
  2 5 0 0 0 0 0 0 0
  3 15 0 0 0 0 0 0 0
